x,x_dot,theta,theta_dot,raw_action,discrete_action
0.0075030057,-0.19122292,-0.042955507,0.3276798,-1.605843980379375,0
0.0036785472,0.004483409,-0.03640191,0.021766076,0.8739464637722714,1
0.0037682154,-0.1900981,-0.035966586,0.3027452,-1.5280578737542878,0
-3.3746775e-05,0.0055174916,-0.029911684,-0.0010603371,0.950275822958399,1
7.6603064e-05,-0.189163,-0.02993289,0.28203705,-1.4537561526270253,0
-0.0037066569,0.0063728415,-0.02429215,-0.019934282,1.023950634685192,1
-0.0035792,-0.18839246,-0.024690835,0.26498628,-1.3809169331418247,0
-0.007347049,0.0070730383,-0.01939111,-0.035380963,1.0970220413248146,1
-0.0072055887,-0.18776555,-0.020098729,0.25112134,-1.307575470469865,0
-0.010960899,0.007637558,-0.015076302,-0.047832746,1.1714897782550293,1
-0.010808148,-0.18726501,-0.016032957,0.2400556,-1.231774572863773,0
-0.014553448,0.008082271,-0.011231845,-0.05764113,1.249355744480738,1
-0.014391803,-0.18687685,-0.012384668,0.231477,-1.1515159197504952,0
-0.01812934,0.008419858,-0.0077551273,-0.06508658,1.332677380063474,1
-0.017960943,-0.18659005,-0.009056859,0.2251395,-1.0647107096552102,0
-0.021692744,0.008660161,-0.004554069,-0.070386484,1.4236205935868524,1
-0.02151954,-0.18639621,-0.0059617986,0.22085613,-0.9691291490474107,0
-0.025247464,0.008810454,-0.001544676,-0.073701404,1.524512874134949,1
-0.025071256,-0.18628933,-0.0030187042,0.21849377,-0.862346153073526,0
-0.028797042,0.008875654,0.0013511712,-0.07513986,1.6379017283000499,1
-0.02861953,-0.18626565,-0.00015162592,0.21796906,-0.7416834066446348,0
-0.03234484,0.008858478,0.0042077554,-0.07476169,1.7666149468696926,1
-0.032167673,-0.18632354,0.0027125217,0.21924582,-0.6041449933195029,0
-0.035894144,0.008759529,0.007097438,-0.072580226,1.913830004598292,1
-0.03571895,-0.18646345,0.005645834,0.2223335,-0.4463466103481594,0
-0.03944822,0.0085773505,0.010092503,-0.06856317,2.0831484672088263,1
-0.039276674,-0.18668783,0.00872124,0.22728683,-0.2644348268064259,0
-0.043010432,0.008308406,0.013266977,-0.06263239,2.2786811777953693,1
-0.042844262,-0.18700123,0.0120143285,0.23420665,-0.05399644130041471,0
-0.046584286,0.007947024,0.016698461,-0.054662492,2.5051458251692766,1
-0.046425346,0.2028256,0.015605212,-0.3420305,0.1900457914526327,1
-0.042368833,0.0074851573,0.008764602,-0.04446775,-2.386139486818469,0
-0.042219132,-0.18776137,0.007875247,0.25096756,-0.08433332434517896,0
-0.04597436,0.007247242,0.012894598,-0.039220996,2.4780905564162703,1
-0.045829415,0.20218194,0.012110178,-0.3278078,0.16551358015820727,1
-0.041785777,0.0068896874,0.005554022,-0.031330623,-2.408039073925423,0
-0.04164798,-0.18831147,0.0049274093,0.26309946,-0.10387176413349687,0
-0.04541421,0.006739803,0.010189398,-0.028025236,2.461017446126701,1
-0.045279413,0.20171416,0.009628894,-0.31747594,0.1504732906041128,1
-0.041245133,0.0064563965,0.003279375,-0.021772038,-2.4209619248041214,0
-0.041116003,-0.18871243,0.002843934,0.27194375,-0.11492380030970105,0
-0.04489025,0.0063688247,0.0082828095,-0.019840822,2.45192335491924,1
-0.044762876,0.20137101,0.0078859925,-0.30989897,0.14310759786860494,1
-0.040735457,0.0061376025,0.0016880137,-0.0147394845,-2.4265282441038525,0
-0.040612705,-0.18900852,0.001393224,0.27847555,-0.11888498379451204,0
-0.044392873,0.006093532,0.006962735,-0.013767628,2.4496448090981255,1
-0.044271003,0.20111494,0.0066873822,-0.30424562,0.14241694121366,1
-0.040248703,0.005898327,0.00060247,-0.009461175,-2.425563860166701,0
-0.04013074,-0.18923226,0.00041324654,0.28341177,-0.11639989456339357,0
-0.043915384,0.0058837957,0.006081482,-0.009140785,2.4537261720686114,1
-0.04379771,0.200918,0.0058986666,-0.29989874,0.14809893378190386,1
-0.039779346,0.005712474,-9.930844e-05,-0.0053613437,-2.4182114209303536,0
-0.0396651,-0.18940805,-0.00020653532,0.28729025,-0.10744673844748107,0
-0.043453258,0.005716843,0.0055392697,-0.0054578106,2.464360883653538,1
-0.04333892,0.20075892,0.0054301135,-0.2963879,0.16050059956049442,1
